id,nombre,slug,categoria_id,categoria,precio_total,precio_por_unidad,unidad_medida,iva,empaque,disponible,url
3497,"Arreglo para puchero vacuno, cerdo y pollo",arreglo-puchero-vacuno-cerdo-pollo-bandeja,3,Carne,6.5,7.22,kg,10.000,Bandeja,True,https://tienda.mercadona.es/product/3497/arreglo-puchero-vacuno-cerdo-pollo-bandeja
2692,Trozo de vacuno para cocido,trozo-vacuno-cocido-bandeja,3,Carne,15.1,4.53,kg,10.000,Bandeja,True,https://tienda.mercadona.es/product/2692/trozo-vacuno-cocido-bandeja
53011,Compango,compango-asturiano-paquete,3,Carne,10.4,2.6,kg,10.000,Paquete,True,https://tienda.mercadona.es/product/53011/compango-asturiano-paquete
58307,Hueso garrón,hueso-garron-incarlopsa-pieza,3,Carne,4.0,1.16,kg,10.000,Pieza,True,https://tienda.mercadona.es/product/58307/hueso-garron-incarlopsa-pieza
2689,Espinazo de cerdo,espinazo-cerdo-bandeja,3,Carne,7.0,2.1,kg,10.000,Bandeja,True,https://tienda.mercadona.es/product/2689/espinazo-cerdo-bandeja
2851,Manos de cerdo,manos-cerdo-bandeja,3,Carne,7.8,3.9,kg,10.000,Bandeja,True,https://tienda.mercadona.es/product/2851/manos-cerdo-bandeja
59154,Chorizo asturiano,chorizo-asturiano-paquete,3,Carne,11.2,2.8,kg,10.000,Paquete,True,https://tienda.mercadona.es/product/59154/chorizo-asturiano-paquete
1892,Hueso blanco de cerdo salado,hueso-blanco-cerdo-salado-bandeja,3,Carne,5.4,1.89,kg,10.000,Bandeja,True,https://tienda.mercadona.es/product/1892/hueso-blanco-cerdo-salado-bandeja
2690,Osobuco de cerdo,osobuco-cerdo-bandeja,3,Carne,8.2,1.97,kg,10.000,Bandeja,True,https://tienda.mercadona.es/product/2690/osobuco-cerdo-bandeja
2854,Gallina,cuarto-gallina-bandeja,3,Carne,5.8,3.94,kg,10.000,Bandeja,True,https://tienda.mercadona.es/product/2854/cuarto-gallina-bandeja
2635,Rabo de cerdo,rabo-cerdo-bandeja,3,Carne,8.0,2.0,kg,10.000,Bandeja,True,https://tienda.mercadona.es/product/2635/rabo-cerdo-bandeja
35805,Tocino de cerdo,tocino-cerdo-paquete,3,Carne,7.8,1.48,kg,10.000,Paquete,True,https://tienda.mercadona.es/product/35805/tocino-cerdo-paquete
86330,Hueso vacuno,hueso-vacuno-bandeja,3,Carne,6.2,3.41,kg,10.000,Bandeja,True,https://tienda.mercadona.es/product/86330/hueso-vacuno-bandeja
52782,Pelota para cocido de cerdo,pelota-cocido-cerdo-bandeja,3,Carne,7.25,2.03,kg,10.000,Bandeja,True,https://tienda.mercadona.es/product/52782/pelota-cocido-cerdo-bandeja
3556,Arreglo para arroz al horno,arreglo-arroz-horno-bandeja,3,Carne,7.9,6.0,kg,10.000,Bandeja,True,https://tienda.mercadona.es/product/3556/arreglo-arroz-horno-bandeja
88180,Arreglo para paella con pollo y conejo,arreglo-paella-con-pollo-conejo-bandeja,3,Carne,7.3,6.86,kg,10.000,Bandeja,True,https://tienda.mercadona.es/product/88180/arreglo-paella-con-pollo-conejo-bandeja
3499,Costilla de vacuno,costilla-vacuno-bandeja,3,Carne,15.3,3.83,kg,10.000,Bandeja,True,https://tienda.mercadona.es/product/3499/costilla-vacuno-bandeja
86385,Fruta + leche tropical Hacendado sin azúcares añadidos,fruta-leche-tropical-hacendado-sin-azucares-anadidos-brick,10,Zumos,0.95,0.95,l,21.000,Brick,True,https://tienda.mercadona.es/product/86385/fruta-leche-tropical-hacendado-sin-azucares-anadidos-brick
86386,Fruta + leche tropical Hacendado sin azúcares añadidos,fruta-leche-tropical-hacendado-sin-azucares-anadidos,10,Zumos,1.01,1.0,l,21.000,,True,https://tienda.mercadona.es/product/86386/fruta-leche-tropical-hacendado-sin-azucares-anadidos
86387,Fruta + leche tropical Hacendado sin azúcares añadidos,fruta-leche-tropical-hacendado-sin-azucares-anadidos,10,Zumos,1.0,1.2,l,21.000,,True,https://tienda.mercadona.es/product/86387/fruta-leche-tropical-hacendado-sin-azucares-anadidos
86388,Fruta + leche mediterráneo Hacendado sin azúcares añadidos,fruta-leche-mediterraneo-hacendado-sin-azucares-anadidos-brick,10,Zumos,0.95,0.95,l,21.000,Brick,True,https://tienda.mercadona.es/product/86388/fruta-leche-mediterraneo-hacendado-sin-azucares-anadidos-brick
86390,Fruta + leche mediterráneo Hacendado sin azúcares añadidos,fruta-leche-mediterraneo-hacendado-sin-azucares-anadidos,10,Zumos,1.01,1.0,l,21.000,,True,https://tienda.mercadona.es/product/86390/fruta-leche-mediterraneo-hacendado-sin-azucares-anadidos
86392,Fruta + leche mediterráneo Hacendado sin azúcares añadidos,fruta-leche-mediterraneo-hacendado-sin-azucares-anadidos,10,Zumos,1.0,1.2,l,21.000,,True,https://tienda.mercadona.es/product/86392/fruta-leche-mediterraneo-hacendado-sin-azucares-anadidos
10126,Fruta + leche tropical Bifrutas,fruta-leche-tropical-bifrutas-pascual-pack-6,10,Zumos,2.1,2.52,l,21.000,Pack-6,True,https://tienda.mercadona.es/product/10126/fruta-leche-tropical-bifrutas-pascual-pack-6
10362,Fruta + leche tropical Bifrutas,fruta-leche-tropical-bifrutas-pascual-pack-3,10,Zumos,2.55,2.52,l,21.000,Pack-3,True,https://tienda.mercadona.es/product/10362/fruta-leche-tropical-bifrutas-pascual-pack-3
